"spende","datum"
50,2017-09-27
10,2017-09-27
50,2017-09-27
100,2017-09-27
100,2017-09-27
20,2017-09-27
50,2017-09-27
30,2017-09-27
25,2017-09-27
200,2017-09-27
20,2017-09-27
10,2017-09-27
40,2017-09-27
100,2017-09-27
40,2017-09-27
5,2017-09-27
20,2017-09-27
10,2017-09-27
20,2017-09-27
20,2017-09-27
50,2017-09-27
50,2017-09-27
50,2017-09-27
25,2017-09-27
10,2017-09-27
50,2017-09-27
100,2017-09-27
100,2017-09-27
50,2017-09-27
10,2017-09-27
50,2017-09-27
50,2017-09-27
40,2017-09-27
50,2017-09-27
20,2017-09-27
72,2017-09-27
20,2017-09-27
100,2017-09-27
200,2017-09-27
400,2017-09-27
20,2017-09-27
20,2017-09-27
40,2017-09-27
50,2017-09-27
100,2017-09-27
10,2017-09-27
100,2017-09-27
100,2017-09-27
55,2017-09-27
10,2017-09-27
100,2017-09-27
20,2017-09-27
50,2017-09-27
40,2017-09-27
30,2017-09-27
50,2017-09-27
20,2017-09-27
15,2017-09-27
50,2017-09-27
150,2017-09-27
20,2017-09-27
100,2017-09-27
300,2017-09-27
20,2017-09-27
100,2017-09-27
20,2017-09-27
50,2017-09-27
10,2017-09-27
50,2017-09-27
100,2017-09-27
50,2017-09-27
70,2017-09-27
30,2017-09-27
40,2017-09-27
25,2017-09-27
100,2017-09-27
40,2017-09-27
20,2017-09-27
30,2017-09-27
50,2017-09-27
20,2017-09-27
10,2017-09-27
100,2017-09-27
15,2017-09-27
20,2017-09-27
50,2017-09-27
50,2017-09-27
100,2017-09-27
50,2017-09-27
50,2017-09-27
10,2017-09-27
10,2017-09-27
100,2017-09-27
50,2017-09-27
20,2017-09-27
200,2017-09-27
100,2017-09-27
50,2017-09-27
100,2017-09-27
40,2017-09-27
25,2017-09-27
20,2017-09-27
300,2017-09-27
30,2017-09-27
20,2017-09-27
500,2017-09-27
10,2017-09-27
50,2017-09-27
10,2017-09-27
300,2017-09-27
250,2017-09-27
30,2017-09-27
20,2017-09-27
10,2017-09-27
50,2017-09-27
50,2017-09-27
30,2017-09-27
100,2017-09-27
20,2017-09-27
100,2017-09-27
100,2017-09-27
10,2017-09-27
20,2017-09-27
50,2017-09-27
200,2017-09-27
20,2017-09-27
100,2017-09-27
40,2017-09-27
100,2017-09-27
100,2017-09-27
100,2017-09-27
20,2017-09-27
200,2017-09-27
50,2017-09-27
100,2017-09-27
10,2017-09-27
50,2017-09-27
100,2017-09-27
50,2017-09-27
29,2017-09-27
50,2017-09-27
100,2017-09-27
15,2017-09-27
50,2017-09-27
25,2017-09-27
20,2017-09-27
100,2017-09-27
20,2017-09-27
10,2017-09-27
10,2017-09-27
20,2017-09-27
150,2017-09-27
20,2017-09-27
100,2017-09-27
200,2017-09-27
120,2017-09-27
20,2017-09-27
100,2017-09-27
50,2017-09-27
50,2017-09-27
5,2017-09-27
200,2017-09-27
10,2017-09-27
100,2017-09-27
100,2017-09-27
200,2017-09-27
30,2017-09-27
50,2017-09-27
25,2017-09-27
30,2017-09-27
100,2017-09-27
15,2017-09-27
10,2017-09-27
50,2017-09-27
20,2017-09-27
20,2017-09-27
50,2017-09-27
50,2017-09-27
20,2017-09-27
200,2017-09-27
20,2017-09-27
30,2017-09-27
20,2017-09-27
30,2017-09-27
100,2017-09-27
20,2017-09-27
30,2017-09-27
50,2017-09-27
4,2017-09-27
30,2017-09-27
40,2017-09-27
50,2017-09-27
50,2017-09-27
30,2017-09-27
25,2017-09-27
500,2017-09-27
50,2017-09-27
100,2017-09-27
50,2017-09-27
50,2017-09-27
50,2017-09-27
20,2017-09-27
100,2017-09-27
100,2017-09-27
20,2017-09-27
200,2017-09-27
50,2017-09-27
50,2017-09-27
20,2017-09-27
50,2017-09-27
10,2017-09-27
25,2017-09-27
50,2017-09-27
20,2017-09-27
40,2017-09-27
20,2017-09-27
20,2017-09-27
50,2017-09-27
300,2017-09-27
100,2017-09-27
25,2017-09-27
50,2017-09-27
50,2017-09-27
20,2017-09-27
50,2017-09-27
15,2017-09-27
30,2017-09-27
10,2017-09-27
200,2017-09-27
10,2017-09-27
20,2017-09-27
20,2017-09-27
100,2017-09-27
10,2017-09-26
50,2017-09-26
50,2017-09-26
50,2017-09-26
100,2017-09-26
30,2017-09-26
10,2017-09-26
100,2017-09-26
100,2017-09-26
60,2017-09-26
50,2017-09-26
20,2017-09-26
30,2017-09-26
10,2017-09-26
10,2017-09-26
50,2017-09-26
1000,2017-09-26
50,2017-09-26
30,2017-09-26
10,2017-09-26
30,2017-09-26
30,2017-09-26
10,2017-09-26
100,2017-09-26
400,2017-09-26
20,2017-09-26
50,2017-09-26
10,2017-09-26
32,2017-09-26
30,2017-09-26
40,2017-09-26
20,2017-09-26
50,2017-09-26
30,2017-09-26
100,2017-09-26
30,2017-09-26
100,2017-09-26
30,2017-09-26
20,2017-09-26
50,2017-09-26
20,2017-09-26
30,2017-09-26
20,2017-09-26
20,2017-09-26
40,2017-09-26
15,2017-09-26
50,2017-09-26
50,2017-09-26
20,2017-09-26
20,2017-09-26
20,2017-09-26
10,2017-09-26
50,2017-09-26
50,2017-09-26
30,2017-09-26
20,2017-09-26
20,2017-09-26
30,2017-09-26
20,2017-09-26
100,2017-09-26
50,2017-09-26
50,2017-09-26
40,2017-09-26
20,2017-09-26
30,2017-09-26
50,2017-09-26
20,2017-09-26
10,2017-09-26
20,2017-09-26
10,2017-09-26
100,2017-09-26
20,2017-09-26
50,2017-09-26
50,2017-09-26
50,2017-09-26
20,2017-09-26
20,2017-09-26
50,2017-09-26
10,2017-09-26
10,2017-09-26
52,2017-09-26
30,2017-09-26
55,2017-09-26
50,2017-09-26
20,2017-09-26
20,2017-09-26
20,2017-09-26
100,2017-09-26
15,2017-09-26
10,2017-09-26
25,2017-09-26
10,2017-09-26
50,2017-09-26
100,2017-09-26
100,2017-09-26
20,2017-09-26
100,2017-09-26
10,2017-09-26
15,2017-09-26
100,2017-09-26
20,2017-09-26
50,2017-09-26
10,2017-09-26
20,2017-09-26
20,2017-09-26
100,2017-09-26
50,2017-09-26
30,2017-09-26
10,2017-09-26
20,2017-09-26
100,2017-09-26
100,2017-09-26
20,2017-09-26
15,2017-09-26
50,2017-09-26
50,2017-09-26
10,2017-09-26
30,2017-09-26
10,2017-09-26
20,2017-09-26
50,2017-09-26
50,2017-09-26
50,2017-09-26
100,2017-09-26
20,2017-09-26
20,2017-09-26
50,2017-09-26
30,2017-09-26
20,2017-09-26
20,2017-09-26
100,2017-09-26
20,2017-09-26
30,2017-09-26
50,2017-09-26
100,2017-09-26
50,2017-09-26
50,2017-09-26
10,2017-09-26
20,2017-09-26
50,2017-09-26
15,2017-09-26
20,2017-09-26
100,2017-09-26
50,2017-09-26
10,2017-09-26
100,2017-09-26
100,2017-09-26
100,2017-09-26
20,2017-09-26
100,2017-09-26
100,2017-09-26
50,2017-09-26
25,2017-09-26
100,2017-09-26
100,2017-09-26
20,2017-09-26
100,2017-09-26
100,2017-09-26
20,2017-09-26
20,2017-09-26
20,2017-09-26
20,2017-09-26
50,2017-09-26
30,2017-09-26
50,2017-09-26
25,2017-09-26
20,2017-09-26
7,2017-09-26
20,2017-09-26
20,2017-09-26
100,2017-09-26
10,2017-09-26
50,2017-09-26
50,2017-09-26
10,2017-09-26
200,2017-09-26
50,2017-09-26
50,2017-09-26
20,2017-09-26
15,2017-09-26
15,2017-09-26
20,2017-09-26
10,2017-09-26
50,2017-09-26
10,2017-09-26
100,2017-09-26
20,2017-09-26
20,2017-09-26
50,2017-09-26
10,2017-09-26
100,2017-09-26
50,2017-09-26
50,2017-09-25
100,2017-09-25
50,2017-09-25
20,2017-09-25
50,2017-09-25
100,2017-09-25
50,2017-09-25
20,2017-09-25
20,2017-09-25
30,2017-09-25
20,2017-09-25
100,2017-09-25
20,2017-09-25
50,2017-09-25
